categary_name,ch_id,ch_title,commentCount,country,dislikeCount,favoriteCount,likeCount,publised_date,v_id,v_title,viewCount
Sports,UCGW6TmKGxBbKhtSiGgpTlXA,FIGHTERS2019,135,JP,15,0,206,2019-01-30T10:59:27.000Z,4YMXDG1zAQs,2019.01.30.[ファイターズ][ARIZONA自主トレ][吉田輝星][岩本勉],55150
Sports,UCS7kvhJx431xCKuSgkBaUWw,Ximo Pierto,2405,JP,878,0,13554,2019-01-27T04:05:56.000Z,hrHeYoz2ERQ,"Golden State Warriors vs Boston Celtics - Full Highlights | January 26, 2019 | 2018-19 NBA Season",3105700
Sports,UC1Cw7QwP25i9TSMQzCET6rA,KO侍,60,JP,11,0,241,2019-01-30T10:09:19.000Z,OPTGI6ju91M,【極真の怪物！】フランシスコ・フィリオ K-1全KO集 9試合＋α　All 9 Knockouts of Francisco Filho in K-1,27567
Sports,UCYs35nWy7aTUBA4w8LcSCjQ,ブチかまし,125,JP,113,0,406,2019-01-31T13:00:58.000Z,7jKND2NssAY,体重140kgのデブは1時間以内にホームランを打てるのか！？,23746
Sports,UCAnfE5JeHXcaKVtXFw_MSbQ,セッキーちゃんねるSekkyChannel,30,JP,,0,,2019-01-30T08:51:02.000Z,LzWwCvK8wNA,【競馬に人生賭けた大勝負】6万円をアメリカジョッキークラブカップ当日に増やす！？,18830
Sports,UCMKvT0YVLufHMdGLH89J1oA,朝日新聞社,78,JP,119,0,171,2019-01-26T12:21:40.000Z,H7__jgHisx0,大坂なおみが全豪オープン優勝,72386
Sports,UClKi6OnfJ7HMnTYA13eDoQw,ゴルフ我流道【GOLFラウンド動画】,41,JP,12,0,140,2019-01-31T09:00:04.000Z,kCdNNfhPoUQ,アイアンで飛距離200yオーバーの女子プロもちけん！遂に勝負のラストホール！【神シリーズ確定⑨】太田双葉カントリークラブ愛宕H9【ゴルフ我流道番外編】,16543
Sports,UCv6gH4f6zw8L5LOM-735dwA,DCKilla,1113,JP,359,0,5379,2019-01-30T04:32:53.000Z,tug_pQOGBmU,LeBron James Goes Crazy After Brandon Ingram Murders Corey Brewer With Show-Time LA！,1004591
Sports,UC4WCYBs0R6fABHwqnneUiEA,元やまと訓練生ペラのボートチャンネル,100,JP,201,0,322,2019-01-26T09:54:41.000Z,vD5BBVwUPJA,【競艇・ボートレース】この判定で決まります。【江戸川競艇】,55229
Sports,UCgOSejPLLsE-XkZAMKq7fsA,エンタメDEEP,120,JP,227,0,1022,2019-01-27T01:44:42.000Z,u0HGtFQQACU,大坂なおみへ“禁断質問”もその回答に全米が感動！【全豪OP優勝】,236256
Sports,UCWc-XpFHPK1SwGcvpFPZ8NA,Jリーグ公式チャンネル,146,JP,50,0,1669,2019-01-27T13:25:36.000Z,kK1SRo3UqHA,【LIVE】J.LEAGUE ASIA CHALLENGE 2019 THAILAND True Bangkok United vs Hokkaido Consadole Sapporo,211735
Sports,UCSGkhjEMPDq0iPb0JHb_w5Q,CliveNBAParody,540,JP,92,0,2431,2019-02-01T04:27:47.000Z,nMRJKCr54BQ,DeMarcus Cousins Trash Talks Joel Embiid Then Embiid Gets Angry After Cousins Stares Him Down!,272635
Sports,UCjrGcd3JwCr--vtQ2bTyCmQ,ぷあたんアカデミー,950,JP,76,0,1242,2019-01-25T08:50:44.000Z,8puI5VTPUTw,史上最高額の逸材 フレンキー・デ・ヨング【バルセロナ移籍】Frenkie de Jong 17-18.,191303
Sports,UCeRjEXK87ObxPKZqWmRS4qA,MIKI TAKEHARA,117,JP,21,0,650,2019-01-31T11:00:03.000Z,ZXfy6ASZKQU,プロサッカー選手とボウリング対決したら最後にまさかの展開にw【ヴィッセル神戸 那須大亮選手コラボ】,29161
Sports,UCclGsmeWqs69Qf1beyYMTeA,さんくーる,208,JP,18,0,327,2019-01-29T12:06:38.000Z,4eeK6YBpwW0,【卓球】さんくーるで卓球1番強いのは誰？【卓球王決定戦】,26894
Sports,UC4c-tz8189DEY8SgX023v9w,競馬予想家ナツ,5,JP,67,0,224,2019-01-26T06:01:39.000Z,AsxEreA4S38,【競馬予想】根岸ステークス2019｜予想と枠順確定後考察,26481
Sports,UCqd3GbqBPPDBp152WVIyr8g,CSPark,74,JP,22,0,330,2019-01-27T11:26:56.000Z,cd5QdDam3Ss,【大学バスケvsストリート】TOKYO STREETBALL CLASSIC 2019,43222
Sports,UCBJeMCIeLQos7wacox4hmLQ,Serie A,3750,JP,2055,0,43170,2019-01-27T22:28:44.000Z,cvctybLyEqE,Lazio 1-2 Juventus | Ronaldo breaks Lazio hearts with 88 min Penalty! | Serie A,4747900
Sports,UCIEmSQYznT9cuTZzBN-x3SQ,北海道日本ハムファイターズ,116,JP,14,0,793,2019-01-31T00:38:50.000Z,-rTq_0MxXfI,金子弌大投手が始動！「こんなに緊張するブルペンは久しぶり」,102222
Sports,UCZKSd0wkky_a82Yj7t1vxIA,FCBComps10,1728,JP,1101,0,20867,2019-01-30T22:59:45.000Z,jEPyPaE_DdE,Barcelona vs Sevilla 6−1 All Gоals & Extеndеd Hіghlіghts 30/01/2019 HD,2641736
Gaming,UCgXyMl3Y2kRHkK08F_Ct8Pg,はじめしゃちょー2 (hajime),5060,JP,2002,0,11244,2019-01-31T02:55:27.000Z,mrL-XKU6t9I,"【モンスト】100,000円！超獣神祭で運極は作れるの？？",1049235
Gaming,UCibEhpu5HP45-w7Bq1ZIulw,Fischer's-フィッシャーズ-,3110,JP,700,0,16924,2019-01-30T09:00:37.000Z,-WleYN2U6nM,【スマブラ】素人と世界的ゲーマーが戦ったら奇跡的に勝てるのか！？,1093802
Gaming,UC2GuoutVyegg6PUK88lLpjw,兄者弟者,1301,JP,237,0,11186,2019-01-26T12:00:01.000Z,J-aPJP75r4M,#1【ホラー】弟者の「バイオハザード RE:2」【2BRO.】,1090509
Gaming,UC8yYqoMOYO_Q755YLJ-teoQ,スロパチステーション,284,JP,519,0,2455,2019-01-31T10:00:07.000Z,_oSCOvszeZA,【CR NOLSOL】魂の実践！これが一撃台じゃあああ！【いそまるの成り上がり回胴録#388】[パチスロ][スロット],322200
Gaming,UCUqaK35h_Tg7g2gbFoe3hJw,パズドラ公式チャンネル,,JP,6210,0,4861,2019-01-31T11:33:42.000Z,ZmC6wQdB6Zw,パズドラ公式放送～7周年直前スぺシャル～,333787
Gaming,UCWcEgYIOqq1BVr4Qm1sPuVg,あまり驚かないガッチマンはホラーゲームばかりやっている,724,JP,66,0,4599,2019-01-30T07:45:05.000Z,85fshWERYsI,さっくり進めるバイオハザードRE2（Z Version）：06,335996
Gaming,UCjBDqIgAY6Arq8cXGhK1aqA,うちいくTV パチンコパチスロ実践動画,365,JP,461,0,2186,2019-01-29T14:30:01.000Z,QcZ7NRtpGf0,朝イチからハーデスを討伐します【ヤルヲの燃えカス#431】,296148
Gaming,UCzXjPL7zo0bxhOYDxLJ9YEg,ポッキー / PockySweets,2193,JP,152,0,9270,2019-01-29T09:15:02.000Z,u4IGmuhLROk,どっちも来てるう゛う゛う゛！！！ - バイオハザード RE:2 - Part3,389342
